survey,fieldwork,question_code,question_label,question_text,response_order,response,country_code,country,percent,weighted_count,source_file
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB1,Environmental issues affect daily life and health,QB1. Please tell me to what extent you agree or disagree with each of the following statements.,4,Totally disagree,NL,Netherlands,6.0,60,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB1,Environmental issues affect daily life and health,QB1. Please tell me to what extent you agree or disagree with each of the following statements.,4,Totally disagree,RO,Romania,7.0,72,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB1,Environmental issues affect daily life and health,QB1. Please tell me to what extent you agree or disagree with each of the following statements.,5,Don't know,EU27,EU-27,1.0,169,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB1,Environmental issues affect daily life and health,QB1. Please tell me to what extent you agree or disagree with each of the following statements.,5,Don't know,NL,Netherlands,,1,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB1,Environmental issues affect daily life and health,QB1. Please tell me to what extent you agree or disagree with each of the following statements.,5,Don't know,RO,Romania,,3,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB1,Environmental issues affect daily life and health,QB1. Please tell me to what extent you agree or disagree with each of the following statements.,6,Total 'Agree',EU27,EU-27,78.0,20449,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB1,Environmental issues affect daily life and health,QB1. Please tell me to what extent you agree or disagree with each of the following statements.,6,Total 'Agree',NL,Netherlands,72.0,721,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB1,Environmental issues affect daily life and health,QB1. Please tell me to what extent you agree or disagree with each of the following statements.,6,Total 'Agree',RO,Romania,69.0,727,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB1,Environmental issues affect daily life and health,QB1. Please tell me to what extent you agree or disagree with each of the following statements.,7,Total 'Disagree',EU27,EU-27,21.0,5729,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB1,Environmental issues affect daily life and health,QB1. Please tell me to what extent you agree or disagree with each of the following statements.,7,Total 'Disagree',NL,Netherlands,28.0,283,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB1,Environmental issues affect daily life and health,QB1. Please tell me to what extent you agree or disagree with each of the following statements.,7,Total 'Disagree',RO,Romania,31.0,319,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",1,Better ensuring that products sold on the EU market do not contribute to harming the environment,EU27,EU-27,55.0,14514,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",1,Better ensuring that products sold on the EU market do not contribute to harming the environment,NL,Netherlands,56.0,560,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",1,Better ensuring that products sold on the EU market do not contribute to harming the environment,RO,Romania,59.0,624,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",2,Investing in Research and Development to find technological solutions,EU27,EU-27,46.0,12245,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",2,Investing in Research and Development to find technological solutions,NL,Netherlands,52.0,526,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",2,Investing in Research and Development to find technological solutions,RO,Romania,42.0,446,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",3,Providing more information and education to be more environmentally friendly,EU27,EU-27,43.0,11433,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",3,Providing more information and education to be more environmentally friendly,NL,Netherlands,26.0,264,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",3,Providing more information and education to be more environmentally friendly,RO,Romania,50.0,522,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",4,Restoring nature,EU27,EU-27,49.0,12785,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",4,Restoring nature,NL,Netherlands,41.0,408,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",4,Restoring nature,RO,Romania,50.0,521,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",5,Ensuring that environmental laws are respected,EU27,EU-27,52.0,13829,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",5,Ensuring that environmental laws are respected,NL,Netherlands,51.0,513,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",5,Ensuring that environmental laws are respected,RO,Romania,41.0,434,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",6,Removing government subsidies on activities that pollute,EU27,EU-27,41.0,10688,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",6,Removing government subsidies on activities that pollute,NL,Netherlands,52.0,522,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",6,Removing government subsidies on activities that pollute,RO,Romania,35.0,371,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",7,Increasing taxation on activities that pollute,EU27,EU-27,42.0,11031,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",7,Increasing taxation on activities that pollute,NL,Netherlands,47.0,472,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",7,Increasing taxation on activities that pollute,RO,Romania,43.0,446,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",8,"Promoting the circular economy through reducing waste, and reusing or recycling products",EU27,EU-27,58.0,15410,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",8,"Promoting the circular economy through reducing waste, and reusing or recycling products",NL,Netherlands,65.0,649,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",8,"Promoting the circular economy through reducing waste, and reusing or recycling products",RO,Romania,61.0,643,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",9,None of the above (SPONTANEOUS),EU27,EU-27,1.0,137,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",9,None of the above (SPONTANEOUS),NL,Netherlands,1.0,9,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",9,None of the above (SPONTANEOUS),RO,Romania,1.0,13,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",10,Don't know,EU27,EU-27,1.0,204,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",10,Don't know,NL,Netherlands,,,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB2T,Most effective ways of tackling environmental problems,"QB2T. In your opinion, which of the following actions would be the most effective  way of tackling environmental problems? First? Second? Third? Fourth? ",10,Don't know,RO,Romania,2.0,18,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB6,Actions considered to reduce waste,QB6. Which of the following would you consider doing yourself to reduce the amount of waste? Please select all options that apply to you. (MULTIPLE ANSWERS POSSIBLE),1,Use reusable packaging,EU27,EU-27,52.0,13583,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB6,Actions considered to reduce waste,QB6. Which of the following would you consider doing yourself to reduce the amount of waste? Please select all options that apply to you. (MULTIPLE ANSWERS POSSIBLE),1,Use reusable packaging,NL,Netherlands,63.0,637,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB6,Actions considered to reduce waste,QB6. Which of the following would you consider doing yourself to reduce the amount of waste? Please select all options that apply to you. (MULTIPLE ANSWERS POSSIBLE),1,Use reusable packaging,RO,Romania,42.0,439,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB6,Actions considered to reduce waste,QB6. Which of the following would you consider doing yourself to reduce the amount of waste? Please select all options that apply to you. (MULTIPLE ANSWERS POSSIBLE),2,Correctly sort my waste for recycling,EU27,EU-27,66.0,17324,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB6,Actions considered to reduce waste,QB6. Which of the following would you consider doing yourself to reduce the amount of waste? Please select all options that apply to you. (MULTIPLE ANSWERS POSSIBLE),2,Correctly sort my waste for recycling,NL,Netherlands,76.0,762,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB6,Actions considered to reduce waste,QB6. Which of the following would you consider doing yourself to reduce the amount of waste? Please select all options that apply to you. (MULTIPLE ANSWERS POSSIBLE),2,Correctly sort my waste for recycling,RO,Romania,50.0,526,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB6,Actions considered to reduce waste,QB6. Which of the following would you consider doing yourself to reduce the amount of waste? Please select all options that apply to you. (MULTIPLE ANSWERS POSSIBLE),3,Primarily buy products in recycled packages,EU27,EU-27,41.0,10851,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB6,Actions considered to reduce waste,QB6. Which of the following would you consider doing yourself to reduce the amount of waste? Please select all options that apply to you. (MULTIPLE ANSWERS POSSIBLE),3,Primarily buy products in recycled packages,NL,Netherlands,39.0,390,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB6,Actions considered to reduce waste,QB6. Which of the following would you consider doing yourself to reduce the amount of waste? Please select all options that apply to you. (MULTIPLE ANSWERS POSSIBLE),3,Primarily buy products in recycled packages,RO,Romania,36.0,374,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB6,Actions considered to reduce waste,QB6. Which of the following would you consider doing yourself to reduce the amount of waste? Please select all options that apply to you. (MULTIPLE ANSWERS POSSIBLE),4,Primarily buy products that do not have more packaging than necessary,EU27,EU-27,49.0,12943,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB6,Actions considered to reduce waste,QB6. Which of the following would you consider doing yourself to reduce the amount of waste? Please select all options that apply to you. (MULTIPLE ANSWERS POSSIBLE),4,Primarily buy products that do not have more packaging than necessary,NL,Netherlands,61.0,614,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB6,Actions considered to reduce waste,QB6. Which of the following would you consider doing yourself to reduce the amount of waste? Please select all options that apply to you. (MULTIPLE ANSWERS POSSIBLE),4,Primarily buy products that do not have more packaging than necessary,RO,Romania,43.0,455,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB6,Actions considered to reduce waste,QB6. Which of the following would you consider doing yourself to reduce the amount of waste? Please select all options that apply to you. (MULTIPLE ANSWERS POSSIBLE),5,None of the above,EU27,EU-27,1.0,192,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB6,Actions considered to reduce waste,QB6. Which of the following would you consider doing yourself to reduce the amount of waste? Please select all options that apply to you. (MULTIPLE ANSWERS POSSIBLE),5,None of the above,NL,Netherlands,1.0,8,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB6,Actions considered to reduce waste,QB6. Which of the following would you consider doing yourself to reduce the amount of waste? Please select all options that apply to you. (MULTIPLE ANSWERS POSSIBLE),5,None of the above,RO,Romania,2.0,22,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB6,Actions considered to reduce waste,QB6. Which of the following would you consider doing yourself to reduce the amount of waste? Please select all options that apply to you. (MULTIPLE ANSWERS POSSIBLE),6,Don't know,EU27,EU-27,,129,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB6,Actions considered to reduce waste,QB6. Which of the following would you consider doing yourself to reduce the amount of waste? Please select all options that apply to you. (MULTIPLE ANSWERS POSSIBLE),6,Don't know,NL,Netherlands,,1,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB6,Actions considered to reduce waste,QB6. Which of the following would you consider doing yourself to reduce the amount of waste? Please select all options that apply to you. (MULTIPLE ANSWERS POSSIBLE),6,Don't know,RO,Romania,,3,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",1,Plastic waste,EU27,EU-27,61.0,16139,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",1,Plastic waste,NL,Netherlands,66.0,664,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",1,Plastic waste,RO,Romania,62.0,647,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",2,Electronic waste,EU27,EU-27,27.0,7066,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",2,Electronic waste,NL,Netherlands,21.0,207,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",2,Electronic waste,RO,Romania,26.0,273,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",3,Battery waste,EU27,EU-27,26.0,6911,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",3,Battery waste,NL,Netherlands,23.0,231,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",3,Battery waste,RO,Romania,19.0,198,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",4,Food waste,EU27,EU-27,12.0,3166,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",4,Food waste,NL,Netherlands,10.0,96,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",4,Food waste,RO,Romania,31.0,328,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",5,Textile waste,EU27,EU-27,10.0,2571,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",5,Textile waste,NL,Netherlands,13.0,132,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",5,Textile waste,RO,Romania,17.0,183,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",6,Chemical waste,EU27,EU-27,60.0,15908,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",6,Chemical waste,NL,Netherlands,67.0,671,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",6,Chemical waste,RO,Romania,42.0,444,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",7,All of these,EU27,EU-27,1.0,137,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",7,All of these,NL,Netherlands,,2,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",7,All of these,RO,Romania,,1,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",8,None of these (SPONTANEOUS),EU27,EU-27,,43,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",8,None of these (SPONTANEOUS),NL,Netherlands,,1,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",8,None of these (SPONTANEOUS),RO,Romania,,4,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",9,Don't know,EU27,EU-27,1.0,200,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",9,Don't know,NL,Netherlands,,0,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB7T,Most problematic waste types in the country,"QB7T. In your opinion, which of the following types of waste are most problematic in (OUR COUNTRY)? Firstly? And then?",9,Don't know,RO,Romania,,2,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB8,Willingness to pay more for repairable/recyclable/sustainable products,"QB8. When you buy products such as furniture, textiles, or electronic devices, would you be willing to pay more for products that are easier to repair, recyclable and/or produced in an environmentally sustainable way?",1,Yes,EU27,EU-27,59.0,15640,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB8,Willingness to pay more for repairable/recyclable/sustainable products,"QB8. When you buy products such as furniture, textiles, or electronic devices, would you be willing to pay more for products that are easier to repair, recyclable and/or produced in an environmentally sustainable way?",1,Yes,NL,Netherlands,76.0,763,SP550_vol_A.xlsx
Eurobarometer 101.2 SP550,2024-03-06 to 2024-04-08,QB8,Willingness to pay more for repairable/recyclable/sustainable products,"QB8. When you buy products such as furniture, textiles, or electronic devices, would you be willing to pay more for products that are easier to repair, recyclable and/or produced in an environmentally sustainable way?",1,Yes,RO,Romania,46.0,483,SP550_vol_A.xlsx
